Month,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Croatia,CzechRepublic ,Denmark,Ecuador,Finland,France,Germany,Global,HongKong,India,Ireland,Israel,Italy,Japan,Mexico,Netherlands,NewZealand,Norway,Pakistan,Poland,Portugal,Russia,Seychelles,Singapore ,Slovakia,SouthAfrica,SouthKorea ,Spain,Sweden ,Switzerland,Taiwan,Thailand,TrinidadandTobago,UK,Ukraine,US
2020-01-01,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2020-02-01,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,5
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2
2020-05-01,,3,1,,,1,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,3,,7
2020-06-01,,1,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1,,1,,,,,,,,,,16
2020-07-01,2,,,,,1,,,,,,,,1,1,,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,7
2020-08-01,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,11
2020-09-01,,2,,,,1,1,,,,,,,1,1,,,,,,1,,,1,,,1,,,1,1,,,,,,,,,1,,3,1,17
2020-10-01,,3,,,,3,,,,,,,1,1,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,1,,16
2020-11-01,,2,,,2,,1,,,,1,,,,1,,,,,,1,1,1,1,,,,,,,,,,,1,,,,1,,,2,,8
2020-12-01,,1,,1,,3,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,,,,1,,,,3,,9
2021-01-01,,1,1,1,1,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,,7
2021-02-01,,,,,1,2,,,,,,2,,2,,,,,,1,,,,2,,1,,1,,,,,,,,,,,,,,2,,8
2021-03-01,,,,,,1,,,,,,,,2,,,,1,,,1,,,1,,,,,,,,,,,,1,,,1,,,4,,10
2021-04-01,,1,,,1,4,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,1,1,,,4,,7
2021-05-01,,,,,,,,,,,,,,1,1,,,,2,,,2,,,1,1,,,,,,,,,,,,,,,,2,,10
2021-06-01,,,,1,1,1,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,,2,,12
2021-07-01,,1,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,1,,10
2021-08-01,,,,,1,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,1,,3,,2
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
